"codigo";"nome_ascii";"nivelensino";"ano";"periodo";"capacidade_aluno";"local";"data_inicio";"data_fim";"codigo_turma";"descricao_horario";"observacao";"distancia";"tipo";"data_consolidacao";"agrupadora";"qtd_aulas_lancadas";"situacaoturma";"convenio";"modalidadeparticipantes";"campusturma"
"MAT0319";"ALGEBRA LINEAR BASICA I";"GRADUAÇÃO";"2016";"2";"60";"3H2";"2016-07-25";"2016-12-17";"05";"35T56";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"PPGP0031";"AVALIACAO DE POLITICAS PUBLICAS";"STRICTO SENSU";"2016";"2";"15";"Sala D4 do Setor V";"2016-08-15";"2016-12-10";"01";"6T456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";""
"PPGP0032";"POLITICAS SOCIAIS NO BRASIL";"STRICTO SENSU";"2016";"2";"15";"Sala D4 do Setor V";"2016-08-15";"2016-12-10";"01";"5N123";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";""
"PSI7084";"PERSPECTIVAS ATUAIS DA PSICOLOGIA";"GRADUAÇÃO";"2016";"2";"50";"2B3";"2016-07-25";"2016-12-17";"01";"5T23 (25/07/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"DIM0451";"COMPUTACAO GRAFICA I";"GRADUAÇÃO";"2016";"2";"40";"3B6";"2016-07-25";"2016-12-17";"01";"35M34";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"PSI0181";"PRATICAS CLINICAS EM INSTITUICAO";"GRADUAÇÃO";"2016";"2";"50";"Sala 622 - Lab de Psicologia";"2016-07-25";"2016-12-17";"01";"5T456 (25/07/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"PSI0182";"PSICOLOGIA DA SAUDE E HOSPITALIZACAO";"GRADUAÇÃO";"2016";"2";"38";"2B3";"2016-07-25";"2016-12-17";"01";"2T123 (25/07/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"PSI0183";"SAUDE MENTAL E A REFORMA PSIQUIATRICA NO BRASIL";"GRADUAÇÃO";"2016";"2";"38";"2B3";"2016-07-25";"2016-12-17";"01";"2T456 (25/07/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"DIM0514";"ARQUITETURA DE SOFTWARE";"GRADUAÇÃO";"2016";"2";"30";"CIVT A303";"2016-07-25";"2016-12-17";"01";"35M56";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"PSI0282";"ORIENTACAO PROFISSIONAL E OCUPACIONAL";"GRADUAÇÃO";"2016";"2";"10";"2E3";"2016-07-25";"2016-12-17";"01";"2T123 (25/07/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"MAT0024";"CALCULO II PARA ENGENHARIA DE PRODUCAO";"GRADUAÇÃO";"2016";"2";"55";"3A2";"2016-07-25";"2016-12-17";"01";"246T12";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"PSI0283";"DESENVOLVIMENTO INSTITUCIONAL II";"GRADUAÇÃO";"2016";"2";"10";"2E3";"2016-07-25";"2016-12-17";"01";"2T456 (25/07/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"DPR0019";"DIREITO E LEGISLACAO SOCIAL";"GRADUAÇÃO";"2016";"2";"51";"1B4";"2016-07-25";"2016-12-17";"01";"35T56";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"QUI2074";"CIENCIA E TECNOLOGIA EM CIMENTACAO DE POCOS PETROLIFEROS";"STRICTO SENSU";"2016";"2";"10";"LABCIM";"2016-08-15";"2016-12-16";"01";"2T2345";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";""
"CST1131.1";"MORFOLOGIA E FISIOLOGIA HUMANA I - PRATICA";"GRADUAÇÃO";"2016";"2";"25";"LABORATÓRIO DE ANATOMIA";"2016-07-27";"2016-12-17";"01";"4M123 (27/07/2016 - 03/08/2016), 4M123 (10/08/2016 - 05/10/2016), 4M123 (19/10/2016 - 14/12/2016), 7M123 (17/12/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1131.1";"MORFOLOGIA E FISIOLOGIA HUMANA I - PRATICA";"GRADUAÇÃO";"2016";"2";"25";"LABORATÓRIO DE ANATOMIA";"2016-07-27";"2016-12-17";"02";"4M456 (27/07/2016 - 03/08/2016), 4M456 (10/08/2016 - 05/10/2016), 4M456 (19/10/2016 - 14/12/2016), 7M456 (17/12/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1131.1";"MORFOLOGIA E FISIOLOGIA HUMANA I - PRATICA";"GRADUAÇÃO";"2016";"2";"25";"LABORATÓRIO DE ANATOMIA";"2016-07-25";"2016-12-17";"02";"4M456 (25/07/2016 - 16/12/2016), 7M345 (17/12/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"Campus Santa Cruz"
"CST1131.1";"MORFOLOGIA E FISIOLOGIA HUMANA I - PRATICA";"GRADUAÇÃO";"2016";"2";"25";"LABORATÓRIO DE ANATOMIA";"2016-07-25";"2016-12-17";"01";"4M123 (25/07/2016 - 16/12/2016), 7M123 (17/12/2016 - 17/12/2016)";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"Campus Santa Cruz"
"CST1131.0";"MORFOLGIA E FISIOLOGIA HUMANA I - TEORICA";"GRADUAÇÃO";"2016";"2";"50";"LABORATÓRIO DE ANATOMIA";"2016-07-25";"2016-12-01";"01";"2M456 5M12 (25/07/2016 - 15/08/2016), 2M456 5M12 (18/08/2016 - 10/10/2016), 2M456 5M12 (13/10/2016 - 01/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1131.0";"MORFOLGIA E FISIOLOGIA HUMANA I - TEORICA";"GRADUAÇÃO";"2016";"2";"50";"LABORATÓRIO DE ANATOMIA";"2016-07-25";"2016-12-10";"01";"2M456 5M12 (25/07/2016 - 10/12/2016)";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"Campus Santa Cruz"
"BIB0001";"METODOLOGIA DO TRABALHO CIENTIFICO";"GRADUAÇÃO";"2016";"2";"45";"2H7 / 2I21";"2016-07-25";"2016-12-17";"01";"35N34";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"ART0244";"TEORIA DA COR E PINTURA";"GRADUAÇÃO";"2016";"2";"20";"DEART - Sala 15";"2016-07-25";"2016-12-17";"01";"6M3456";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Central"
"CST2192.0";"PRATICA SUPERVISIONADA I - ATENCAO BASICA";"GRADUAÇÃO";"2016";"2";"8";"UBS - PARAÍSO II";"2016-07-25";"2016-08-31";"02";"24M456 (25/07/2016 - 31/08/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.0";"PRATICA SUPERVISIONADA I - ATENCAO BASICA";"GRADUAÇÃO";"2016";"2";"7";"UBS - PARAÍSO II";"2016-09-05";"2016-10-24";"04";"24M456 (05/09/2016 - 24/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.0";"PRATICA SUPERVISIONADA I - ATENCAO BASICA";"GRADUAÇÃO";"2016";"2";"7";"UBS - PARAÍSO II";"2016-09-05";"2016-10-24";"03";"24M123 (05/09/2016 - 24/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.0";"PRATICA SUPERVISIONADA I - ATENCAO BASICA";"GRADUAÇÃO";"2016";"2";"7";"UBS - PARAÍSO II";"2016-07-25";"2016-08-31";"01";"24M123 (25/07/2016 - 31/08/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.1";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE I";"GRADUAÇÃO";"2016";"2";"7";"CT - CENTRO DE TREINAMENTO";"2016-07-25";"2016-08-31";"01";"24T123 (25/07/2016 - 31/08/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.1";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE I";"GRADUAÇÃO";"2016";"2";"8";"CT - CENTRO DE TREINAMENTO";"2016-07-25";"2016-08-31";"02";"24T456 (25/07/2016 - 31/08/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.1";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE I";"GRADUAÇÃO";"2016";"2";"7";"CT - CENTRO DE TREINAMENTO";"2016-09-05";"2016-10-24";"03";"24T123 (05/09/2016 - 24/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.1";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE I";"GRADUAÇÃO";"2016";"2";"7";"CT - CENTRO DE TREINAMENTO";"2016-09-05";"2016-10-24";"04";"24T456 (05/09/2016 - 24/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.2";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE II";"GRADUAÇÃO";"2016";"2";"8";"CLÍNICA DE FISIOTERAPIA";"2016-09-05";"2016-10-19";"02";"23456M456 (05/09/2016 - 19/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.2";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE II";"GRADUAÇÃO";"2016";"2";"7";"CLÍNICA DE FISIOTERAPIA";"2016-09-05";"2016-10-19";"01";"23456M123 (05/09/2016 - 19/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.2";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE II";"GRADUAÇÃO";"2016";"2";"7";"CLÍNICA DE FISIOTERAPIA";"2016-07-25";"2016-09-02";"04";"23456M456 (25/07/2016 - 02/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.2";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE II";"GRADUAÇÃO";"2016";"2";"7";"CLÍNICA DE FISIOTERAPIA";"2016-07-25";"2016-09-02";"03";"23456M123 (25/07/2016 - 02/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.3";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE III";"GRADUAÇÃO";"2016";"2";"7";"CLÍNICA DE FISIOTERAPIA";"2016-09-05";"2016-10-19";"01";"23456M456 (05/09/2016 - 19/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.3";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE III";"GRADUAÇÃO";"2016";"2";"7";"CLÍNICA DE FISIOTERAPIA";"2016-07-25";"2016-09-02";"03";"23456M456 (25/07/2016 - 02/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.3";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE III";"GRADUAÇÃO";"2016";"2";"7";"CLÍNICA DE FISIOTERAPIA";"2016-07-25";"2016-09-02";"04";"23456M123 (25/07/2016 - 02/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.3";"PRATICA SUPERVISIONADA I - MEDIA COMPLEXIDADE III";"GRADUAÇÃO";"2016";"2";"8";"CLÍNICA DE FISIOTERAPIA";"2016-09-05";"2016-10-19";"02";"23456M123 (05/09/2016 - 19/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.4";"PRATICA SUPERVISIONADA I - ALTA COMPLEXIDADE";"GRADUAÇÃO";"2016";"2";"8";"Hospital Dr. Ruy Pereira dos Santos";"2016-07-25";"2016-09-01";"02";"35M123456 (25/07/2016 - 01/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.4";"PRATICA SUPERVISIONADA I - ALTA COMPLEXIDADE";"GRADUAÇÃO";"2016";"2";"7";"HUOL / Hospital Monsenhor Walfredo Gurgel";"2016-09-06";"2016-10-13";"03";"35M123456 (06/09/2016 - 13/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.4";"PRATICA SUPERVISIONADA I - ALTA COMPLEXIDADE";"GRADUAÇÃO";"2016";"2";"7";"Hospital Dr. Ruy Pereira dos Santos";"2016-09-06";"2016-10-13";"04";"35M123456 (06/09/2016 - 13/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST2192.4";"PRATICA SUPERVISIONADA I - ALTA COMPLEXIDADE";"GRADUAÇÃO";"2016";"2";"7";"HUOL";"2016-07-25";"2016-09-01";"01";"35M123456 (25/07/2016 - 01/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CSH0179";"EMPREENDEDORISMO";"GRADUAÇÃO";"2016";"2";"50";"CERES Currais Novos";"2016-07-25";"2016-12-17";"01";"2T1234";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Currais Novos"
"CST1134.0";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - TEORICA";"GRADUAÇÃO";"2016";"2";"40";"Bloco I - Sala 09";"2016-07-25";"2016-11-22";"01";"23M123456  2T234 (25/07/2016 - 26/07/2016), 2345M123456  2T234 (01/08/2016 - 04/08/2016), 3M123456 (09/08/2016 - 09/08/2016), 235M123456 4M456  2T234 (15/08/2016 - 18/08/2016), 3M123456 (23/08/2016 - 23/08/2016), 3M123456 (30/08/2016 - 30/08/2016), 35M123456  2T234 (05/09/2016 - 08/09/2016), 3M123456 (13/09/2016 - 13/09/2016), 235M123456 4M456  2T234 (19/09/2016 - 22/09/2016), 3M123456 (27/09/2016 - 27/09/2016), 35M123456 4M456 (04/10/2016 - 06/10/2016), 235M123456  2T234 (10/10/2016 - 13/10/2016), 3M123456 (18/10/2016 - 18/10/2016), 3M123456 (25/10/2016 - 25/10/2016), 23M123456 (31/10/2016 - 01/11/2016), 3M234 (22/11/2016 - 22/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-07";"2016-11-28";"08";"245M23456 (07/11/2016 - 10/11/2016), 2M123 (28/11/2016 - 28/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-21";"2016-12-01";"10";"245M23456 (21/11/2016 - 24/11/2016), 5M234 (01/12/2016 - 01/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-14";"2016-11-28";"09";"245M23456 (14/11/2016 - 17/11/2016), 2M456 (28/11/2016 - 28/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-28";"2016-12-07";"10";"245M23456 (28/11/2016 - 05/12/2016), 4M234 (07/12/2016 - 07/12/2016)";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-14";"2016-11-23";"09";"245M23456 (14/11/2016 - 17/11/2016), 4M456 (23/11/2016 - 23/11/2016)";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-07";"2016-11-23";"08";"245M23456 (07/11/2016 - 10/11/2016), 4M123 (23/11/2016 - 23/11/2016)";"";"f";"1";"";"f";"";"EXCLUÍDA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-10-17";"2016-11-03";"06";"245M23456 (17/10/2016 - 20/10/2016), 5M123 (03/11/2016 - 03/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-08-29";"2016-09-05";"03";"245M23456 (29/08/2016 - 01/09/2016), 2M456 (05/09/2016 - 05/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-08-08";"2016-08-17";"01";"245M23456 (08/08/2016 - 11/08/2016), 4M123 (17/08/2016 - 17/08/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-08-22";"2016-09-05";"02";"245M23456 (22/08/2016 - 25/08/2016), 2M123 (05/09/2016 - 05/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-10-24";"2016-11-03";"07";"245M23456 (24/10/2016 - 27/10/2016), 5M456 (03/11/2016 - 03/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-09-12";"2016-09-21";"04";"245M23456 (12/09/2016 - 15/09/2016), 4M123 (21/09/2016 - 21/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.1";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA I";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-09-26";"2016-10-05";"05";"245M23456 (26/09/2016 - 29/09/2016), 4M123 (05/10/2016 - 05/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-08-31";"2016-09-05";"03";"45M23456  4T12345 (31/08/2016 - 01/09/2016), 2M456 (05/09/2016 - 05/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-08-10";"2016-08-17";"01";"45M23456  4T12345 (10/08/2016 - 11/08/2016), 4M123 (17/08/2016 - 17/08/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-08-24";"2016-09-05";"02";"45M23456  4T12345 (24/08/2016 - 25/08/2016), 2M123 (05/09/2016 - 05/09/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-23";"2016-12-01";"10";"45M23456  4T12345 (23/11/2016 - 24/11/2016), 5M234 (01/12/2016 - 01/12/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-16";"2016-11-28";"09";"45M23456  4T12345 (16/11/2016 - 17/11/2016), 2M456 (28/11/2016 - 28/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-11-09";"2016-11-28";"08";"45M23456  4T12345 (09/11/2016 - 10/11/2016), 2M123 (28/11/2016 - 28/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-10-26";"2016-11-03";"07";"45M23456  4T12345 (26/10/2016 - 27/10/2016), 5M456 (03/11/2016 - 03/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-10-19";"2016-11-03";"06";"45M23456  4T12345 (19/10/2016 - 20/10/2016), 5M123 (03/11/2016 - 03/11/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
"CST1134.2";"ATENCAO INTEGRAL A SAUDE NA ALTA COMPLEXIDADE - PRATICA II";"GRADUAÇÃO";"2016";"2";"3";"A DEFINIR";"2016-09-28";"2016-10-05";"05";"45M23456  4T12345 (28/09/2016 - 29/09/2016), 4M123 (05/10/2016 - 05/10/2016)";"";"f";"1";"";"f";"";"ABERTA";"";"Presencial";"Campus Santa Cruz"
